"","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B"
"2591643","COL5A2",-1.4611342,6.49727507777778,-8.96606412010784,1.97084795014038e-14,3.87324412772678e-12,1.4611342,22.4275152122706
"2585933","SPC25",-1.44731488888889,2.59564048888889,-8.95117565737777,2.12333977059099e-14,4.1360028044671e-12,1.44731488888889,22.3547395785314
"2859667","CENPK",-1.5328296,3.62091444444444,-8.9477298529806,2.16027869433437e-14,4.14792829038238e-12,1.5328296,22.3378977654379
"3168508","MELK",-1.57536146666666,3.84268742222222,-8.94709521006971,2.16715166686645e-14,4.14792829038238e-12,1.57536146666666,22.3347959272417
"2961177","COL12A1",-1.78482295555555,6.34224812222222,-8.93218501992581,2.33505578974494e-14,4.43076836104102e-12,1.78482295555555,22.261927373787
"3388830","MMP3",-2.24295833333333,4.43043607777778,-8.91634474011164,2.52767844839511e-14,4.71497714640888e-12,2.24295833333333,22.1845250366617
"3182781","SMC2",-1.40874193333333,4.60118921111111,-8.90477924546423,2.67826161090754e-14,4.95388372417528e-12,1.40874193333333,22.1280188927798
"3385769","CTSC",-1.19211115555555,7.67850044444444,-8.90258823758361,2.70778149025753e-14,4.96674819850487e-12,1.19211115555555,22.1173149202825
"3758317","BRCA1",-1.30337948888889,3.6776437,-8.90064857771143,2.7341857794359e-14,4.97373249513749e-12,1.30337948888889,22.1078390866406
"3758510","ETV4",-1.52781495555555,5.52149561111111,-8.87484148750562,3.11094819925259e-14,5.61271154211055e-12,1.52781495555555,21.9817817143269
"3097152","MCM4",-1.18658468888889,6.25840681111111,-8.84073351405956,3.68950603490367e-14,6.54917075276328e-12,1.18658468888889,21.8152311672778
"3388673","MMP7",-2.54995231111111,5.8479676,-8.76423330060146,5.40768899567627e-14,9.47929516322764e-12,2.54995231111111,21.4419118856396
"3667281","SF3B3",-1.10774195555555,7.69611551111111,-8.76354416696562,5.42633769736351e-14,9.47929516322764e-12,1.10774195555555,21.4385504708079
"3909354","ADNP",-1.17525726666667,7.09378898888889,-8.73102541180878,6.38328356311936e-14,1.09767542584235e-11,1.17525726666667,21.279965121195
"3493391","C13orf34",-1.17241904444444,3.9759633,-8.72145919572305,6.69559613139586e-14,1.14245555386166e-11,1.17241904444444,21.2333256125586
"2469252","RRM2",-2.21598226666666,7.26225446666667,-8.71025789897021,7.08071452368363e-14,1.19887390292923e-11,2.21598226666666,21.1787216747165
"2840002","CCDC99",-1.39117944444444,4.39054394444444,-8.70318968412961,7.33502177092161e-14,1.23245163511264e-11,1.39117944444444,21.1442697313197
"3368520","CSTF3",-1.14774806666667,4.51787956666667,-8.68805463279369,7.91062088356317e-14,1.31909603233416e-11,1.14774806666667,21.0705091593135
