"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000168356.13",-3.06856872435224,-1.01791089675347,511.006485484939,7.86003097827163e-89,1.65188604536374e-86,TRUE
"ENSG00000104833.12",-3.27439269615968,-0.899208358663629,508.322141011541,9.78868466499159e-89,2.03357111074779e-86,TRUE
"ENSG00000240505.9",-3.33490558458139,-0.346380144420554,529.671757678906,7.92288610901733e-88,1.62725276743613e-85,TRUE
"ENSG00000030304.14",-3.58017609716295,-0.528870615145858,514.824502745404,1.10383559768085e-87,2.21674717694264e-85,TRUE
"ENSG00000163873.10",-3.4039880920729,0.524383063284248,564.790168333795,1.33170472024251e-87,2.64497045205089e-85,TRUE
"ENSG00000189129.14",-2.56056174289396,1.34065284284531,582.416785353102,2.67238085013235e-87,5.25006646579262e-85,TRUE
"ENSG00000176399.4",-3.36396908730203,-0.841030438964153,500.283271633458,4.06818512542633e-87,7.90627719967263e-85,TRUE
"ENSG00000141668.10",-2.90028613020029,-0.83016002640938,506.567203334171,5.57834891933718e-87,1.07258594008617e-84,TRUE
"ENSG00000197273.4",-5.28663171557129,6.00656810697566,578.602634207817,7.57910075534372e-87,1.44194386370613e-84,TRUE
"ENSG00000135549.15",-3.87429639359514,4.41569913379938,577.784017851006,9.85687097397909e-87,1.85576131233019e-84,TRUE
"ENSG00000163295.5",-4.50021147628043,2.76667325070286,577.349896794951,1.34380288582154e-86,2.50390653178748e-84,TRUE
"ENSG00000248485.2",-3.83487052570747,-0.161049223485029,515.274660586726,2.83096375156202e-86,5.22110600466652e-84,TRUE
"ENSG00000171246.6",-4.77239365081404,1.89816725943999,560.841879484856,1.16224887792966e-85,2.12186729491926e-83,TRUE
"ENSG00000172987.13",-3.1917245648583,0.137449648363226,535.998113297116,1.76695790776782e-85,3.19359972249957e-83,TRUE
"ENSG00000179915.24",-4.18429885125842,0.30916667928662,521.938662201195,2.20756954486701e-85,3.95045662910161e-83,TRUE
"ENSG00000126950.8",-3.96687473545593,1.54138942863276,558.707079492473,3.34817599929123e-85,5.93283656972448e-83,TRUE
"ENSG00000232070.9",-2.77957494659678,0.0154841156060731,529.357755320381,7.20722214879137e-85,1.26469255453646e-82,TRUE
"ENSG00000206579.9",-3.76310695433834,-0.940492317347565,468.764566570638,1.63527677444182e-84,2.84192234819821e-82,TRUE
"ENSG00000119121.22",-4.21852668726171,4.12113026493214,553.463892595531,3.78038332345086e-84,6.50729982743342e-82,TRUE
"ENSG00000175785.13",-4.48177154182591,1.45899785132835,541.858280733434,4.5206387870606e-84,7.70811560729559e-82,TRUE
"ENSG00000253958.2",-2.95146627588193,4.74957923329164,549.186911444573,9.29983576792227e-84,1.55634473767988e-81,TRUE
