"GeneSymbol","logFC_COAD","PValue_COAD","FDR_COAD","logFC_READ","PValue_READ","FDR_READ"
"CALCA",5.61387295356488,2.11834006433624e-12,7.78663378540028e-12,3.44306942580348,0.000915719622970749,0.0025192832918727
"CAMKV",4.38517168263945,6.03495573944669e-15,2.77970922616614e-14,4.88270740687502,9.20195325466416e-06,4.44034208827156e-05
"CAND2",-2.19861941589742,4.69433082820899e-57,2.7727233787271e-55,-2.44731369372666,6.58046624679315e-21,3.84132037813616e-19
"CAP2",-2.08568124679889,4.66226663713962e-45,1.53769721167265e-43,-3.21511225333453,2.25060656013197e-30,4.11562450654337e-28
"CAPN12",2.03855129961211,3.0435561221404e-14,1.3258431755017e-13,2.38068019065064,5.1978698260056e-06,2.68851340507353e-05
"CARD14",2.23491546662267,3.57966291452257e-24,3.37324439609389e-23,3.59090743023077,2.35648791310423e-13,5.22656186766594e-12
"CASC19",4.91496167792186,1.9884557189175e-44,6.42922158563771e-43,3.46505880224116,8.61976862157563e-13,1.74943231559747e-11
"CASQ2",-4.2718855001079,1.76640400678455e-59,1.12812671443901e-57,-4.28140879861968,2.96483905258299e-16,1.00061922149416e-14
"CAVIN2",-2.88478121919124,2.37003197129631e-60,1.55202745830469e-58,-3.7651636627606,2.3830828857331e-36,7.49249620968821e-34
"CBARP",2.54063529011876,1.00263083413456e-17,5.77855538780228e-17,2.08041973289668,0.000199969731576463,0.000670469141175266
"CBLIF",3.63785187008198,1.17091020314157e-12,4.39979854710617e-12,3.4596779924679,5.34353390459084e-05,0.000210789062522942
"CBX2",3.65734385283843,4.48656270606925e-42,1.27700998975584e-40,3.78648544123851,2.53739337994076e-13,5.5907870610342e-12
"CBY2",6.9249533345763,9.32601805924434e-27,1.03473572991272e-25,7.09612218979871,3.62673849129681e-08,3.13530055487362e-07
"CCBE1",-3.5014501412449,1.63755828771952e-56,9.36621154817801e-55,-4.49852475387757,1.18215009260271e-29,1.89154569727974e-27
"CCDC150",2.12236670289063,1.30123810239415e-27,1.519287949785e-26,2.00699334744925,2.84085282150656e-08,2.51909566621569e-07
"CCDC187",2.56399001703633,1.3633447476881e-12,5.09323955554251e-12,2.35230116649595,0.00210073854503856,0.0052099827657952
"CCDC188BP",2.04524452882616,5.13553039118523e-09,1.36740683986862e-08,2.36266324794978,0.00172319263151008,0.00437474644415527
"CCDC198",6.25223999764645,5.06670511469508e-14,2.16133179709697e-13,5.91739580600296,0.000265580433548974,0.000855557603744592
"CCDC33",3.24577689706422,2.01736284789969e-17,1.13270630981482e-16,3.10416178446951,2.77951430890104e-05,0.000118825562809674
"CCDC68",-2.0263551329428,4.35596005907387e-39,1.06104612004988e-37,-2.40555473860634,4.24239340979208e-19,2.0274115279169e-17
"CCDC69",-2.83471135142278,1.23561685229148e-77,1.58386801335576e-75,-3.55444082016176,1.16969441776008e-40,5.66543071910229e-38
"CCDC78",3.65281617739499,5.41176345785204e-29,6.9716473797019e-28,3.65275609774575,9.09537227440266e-09,9.00253200035396e-08
"CCL19",-2.2121357298276,3.18014827042126e-18,1.89571239576497e-17,-2.63406947660358,4.32438751052954e-08,3.69210807890423e-07
"CCL21",-2.01646238292412,1.28913227403468e-17,7.35937356945761e-17,-2.71861099582376,4.25652740676357e-10,5.51563468232899e-09
"CCL28",-2.07463390432128,1.02188945839209e-28,1.29158252244606e-27,-2.26275601035868,1.79202172995428e-09,2.08132348817308e-08
"CCN4",2.85292920322862,1.68807237740923e-26,1.83907294450238e-25,2.16896003602867,1.17460841886366e-05,5.53058197218978e-05
"CCN5",-3.52333148404532,1.21835890952992e-52,5.7796900080955e-51,-3.72552001161544,6.94538227028752e-19,3.19969654667924e-17
