"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000152669.9",3.01947554298258,3.46776332612315,186.624943254867,1.40036506674836e-36,2.94990655202912e-35,TRUE
"ENSG00000285278.1",3.09543633849429,-0.692921020549609,179.146523217923,1.81240405313682e-36,3.80457501235714e-35,TRUE
"ENSG00000088826.18",2.38993636444946,4.72296056167095,185.404272475474,2.14050116651593e-36,4.46221661864002e-35,TRUE
"ENSG00000254560.6",4.91079235223838,1.54675109342227,181.581969401768,3.4023914651701e-36,6.95642797980592e-35,TRUE
"ENSG00000249859.12",3.24321868348398,4.39465475071873,181.393075716792,9.64446421828477e-36,1.92399609581986e-34,TRUE
"ENSG00000068650.18",2.16404130524981,6.59403813000641,180.116454135936,1.53040914041755e-35,3.01642473325047e-34,TRUE
"ENSG00000060718.22",6.65605241625049,5.480439754082,179.390535247486,1.90311463110614e-35,3.7387928089796e-34,TRUE
"ENSG00000135069.14",2.7555241606872,6.00179026874627,179.475236759241,1.94854388214349e-35,3.82388513853002e-34,TRUE
"ENSG00000137699.17",4.43589228045203,6.57294300742219,176.131683066005,6.86408967319415e-35,1.31282070638424e-33,TRUE
"ENSG00000136997.21",2.0025225352486,7.96478187046749,175.797975553569,7.75857161266382e-35,1.47920277771399e-33,TRUE
"ENSG00000171388.12",3.21389508751848,3.3407311207342,175.622905085199,8.59736912386631e-35,1.63052308021784e-33,TRUE
"ENSG00000177410.13",2.41787950016422,5.42690926556851,174.658596118942,1.19628848078034e-34,2.2429168051477e-33,TRUE
"ENSG00000131188.12",3.5457865917076,3.54740509141921,174.232020549758,1.44631372515078e-34,2.70048287896438e-33,TRUE
"ENSG00000198759.12",3.52300413273744,1.95293610072832,173.249823432187,1.909569927416e-34,3.55077848437415e-33,TRUE
"ENSG00000173557.15",3.45450265611868,2.46414946615612,172.582695673623,2.6514707058561e-34,4.89006954465746e-33,TRUE
"ENSG00000187730.9",2.82156963215554,0.679039729775288,171.441908913527,2.78339304900007e-34,5.12291710464636e-33,TRUE
"ENSG00000251026.2",7.54395214692609,0.111294624826294,173.144964651465,3.06026382960905e-34,5.62105776995467e-33,TRUE
"ENSG00000240204.3",4.11923269027014,0.948403354294003,168.987481144694,4.67833599155787e-34,8.54103481933504e-33,TRUE
"ENSG00000198720.13",2.41978971842941,4.21393900233222,170.53451717846,5.76526687135198e-34,1.04725058726448e-32,TRUE
"ENSG00000228742.11",6.54511028926087,0.96542149244793,169.592109599787,8.50885293451121e-34,1.53482043850654e-32,TRUE
"ENSG00000123500.10",7.98695874246908,4.79989492845547,166.627986326836,1.15972951298252e-33,2.06919557923455e-32,TRUE
"ENSG00000108379.10",2.41375817002971,1.8950478735916,167.432564228516,1.97788481160287e-33,3.470707775234e-32,TRUE
"ENSG00000163013.12",2.06385242507305,4.49203580675268,166.854811571724,2.33213352746901e-33,4.06862754589527e-32,TRUE
"ENSG00000204869.8",5.76080842743268,1.35741246983991,163.518577536739,3.41614341479099e-33,5.90280842054803e-32,TRUE
"ENSG00000111981.5",4.03524128357001,0.0352214810403728,162.280570653653,3.6293516694465e-33,6.26522464886112e-32,TRUE
"ENSG00000181652.19",3.57901898207875,2.26317431445609,165.512877440329,3.78227763118711e-33,6.51056056248341e-32,TRUE
"ENSG00000075275.18",2.47490190800133,5.49553435397447,165.527555758903,3.85390065869791e-33,6.62123578947777e-32,TRUE
"ENSG00000151388.11",3.51929806482159,4.56013701207618,165.433484096216,4.04233751869155e-33,6.93180344524014e-32,TRUE
"ENSG00000138152.10",3.65272205809157,0.422381727310907,162.265644274665,5.44681598339518e-33,9.261124372896e-32,TRUE
"ENSG00000157766.19",3.09173521542391,3.31302272295728,164.260189844362,6.45997092843597e-33,1.09425974283554e-31,TRUE
"ENSG00000170373.8",8.4624327811434,4.8447838079831,161.50352253417,7.0377070136498e-33,1.19100670940736e-31,TRUE
"ENSG00000229404.6",6.09827765519817,1.15743365463151,161.416954387567,1.15266112000758e-32,1.92365624035245e-31,TRUE
"ENSG00000158023.10",2.76835014934692,1.65168897115085,162.580205406769,1.21237794270039e-32,2.02145008638071e-31,TRUE
