"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000120708.17",3.48981103330823,10.1018047532113,62.3783062206339,2.71615532057566e-13,5.96522297794563e-12,TRUE
"ENSG00000088992.18",4.68041959858622,5.99508815530518,61.8505520016654,3.31896922080218e-13,7.13861993518094e-12,TRUE
"ENSG00000281406.2",4.88710211985665,3.37912474388481,61.7240634071814,3.4478751947354e-13,7.38224269592032e-12,TRUE
"ENSG00000196756.13",2.62305179862147,6.04475195262555,61.455140715873,3.84967935336677e-13,8.17418290185851e-12,TRUE
"ENSG00000088002.12",4.58167065135591,4.56668107031862,61.4599031792149,3.85980701242562e-13,8.18598833960704e-12,TRUE
"ENSG00000158352.16",2.14363619361396,4.99717233366931,61.3945521687109,3.94068510620476e-13,8.33778250156971e-12,TRUE
"ENSG00000178773.15",6.2017337347709,5.26628633864343,60.9255415689517,4.70715095561766e-13,9.84327331104132e-12,TRUE
"ENSG00000142235.12",3.41527183612786,2.92492096443703,60.3588397830781,5.89678710461966e-13,1.21746914403098e-11,TRUE
"ENSG00000254166.3",3.46505880224116,5.13469113156662,59.3376357680952,8.61976862157563e-13,1.74943231559747e-11,TRUE
"ENSG00000003249.15",2.52968340047035,4.73895214206733,59.3269047725902,8.65358466132721e-13,1.75430871850277e-11,TRUE
"ENSG00000135245.10",2.32672513882638,4.97312544261027,59.3171211196399,8.68319103578527e-13,1.75832165595828e-11,TRUE
"ENSG00000157193.18",2.45995504132209,4.31296325551552,59.2769422600466,8.82735552544133e-13,1.78348408536002e-11,TRUE
"ENSG00000229970.3",6.35928205334163,-0.0848497086781567,59.2868195405796,9.47675641195582e-13,1.90823541189506e-11,TRUE
"ENSG00000183734.4",4.60760117962647,7.4887860405406,58.7503429953649,1.0780511986191e-12,2.15381889971604e-11,TRUE
"ENSG00000212993.5",5.13738262968138,2.87128175348832,58.4994374422749,1.1365451766164e-12,2.2606022319803e-11,TRUE
"ENSG00000111110.12",2.15045193711931,5.68627835634156,58.272308159779,1.29502317260473e-12,2.55314744513194e-11,TRUE
"ENSG00000111012.10",2.00411646896808,2.02827210395424,58.2303689250879,1.34803071163195e-12,2.65473169045671e-11,TRUE
"ENSG00000125398.8",2.04755756785614,8.02870522224663,58.1484907094439,1.35776230674931e-12,2.66803270825158e-11,TRUE
"ENSG00000287828.1",3.15792898192403,3.78113624000228,57.9991933912115,1.44436904247919e-12,2.82274128792472e-11,TRUE
"ENSG00000262772.2",4.62593755421824,0.225189271334865,57.2568468832706,1.51320784285302e-12,2.94763019040967e-11,TRUE
"ENSG00000236144.8",2.36817733589186,3.20335976757276,57.8080794581851,1.55795161372198e-12,3.02820508346114e-11,TRUE
"ENSG00000145506.14",4.58449963784216,5.26354028143132,57.0077274303821,2.11161984984534e-12,4.04730901915277e-11,TRUE
"ENSG00000062282.15",2.29121859649229,5.089113951987,56.872118872552,2.22081275007399e-12,4.24298350683112e-11,TRUE
"ENSG00000239605.11",5.42327952730704,0.469454091718789,56.3346285101192,2.37324916463621e-12,4.51976602332046e-11,TRUE
"ENSG00000181652.19",3.76492405708812,2.46905081386022,56.0271703477157,3.09592265905104e-12,5.80963664637212e-11,TRUE
"ENSG00000101104.13",3.76294651956372,5.08460061804671,55.4421703328486,3.86831293236953e-12,7.15108630153047e-11,TRUE
"ENSG00000196584.3",2.10183819007265,3.31949684282893,55.2276787077737,4.22013666458458e-12,7.75682760677131e-11,TRUE
"ENSG00000008300.17",3.0630354005876,4.63396651301765,54.8931425190423,4.78986297761247e-12,8.75909534916256e-11,TRUE
"ENSG00000138074.15",2.16091867636741,7.16647483557801,54.6994942533655,5.15868561364824e-12,9.39520374819005e-11,TRUE
